Number of Samples	Sampling Rate (Hz)
1024.000000	22000.000000

Time (s)	Time History Channel 0	Frequency (Hz)	Power Spectrum Channel 0
0.000000	3.925967	0.000000	2.317619
0.000045	3.843054	21.484375	0.232102
0.000091	3.801597	42.968750	0.266741
0.000136	3.760140	64.453125	0.356037
0.000182	3.718683	85.937500	0.840189
0.000227	3.656499	107.421875	1.415211
0.000273	3.552857	128.906250	0.317902
0.000318	3.511400	150.390625	0.164645
0.000364	3.387031	171.875000	0.129708
0.000409	3.304117	193.359375	0.089781
0.000455	3.221204	214.843750	0.076151
0.000500	3.179748	236.328125	0.045406
0.000545	3.117562	257.812500	0.039450
0.000591	3.055377	279.296875	0.018522
0.000636	3.013921	300.781250	0.059439
0.000682	2.951735	322.265625	0.024525
0.000727	2.889551	343.750000	0.028601
0.000773	2.848094	365.234375	0.032986
0.000818	2.765181	386.718750	0.016147
0.000864	2.682268	408.203125	0.011495
0.000909	2.599355	429.687500	0.003502
0.000955	2.516441	451.171875	0.008664
0.001000	2.433528	472.656250	0.010744
0.001045	2.350615	494.140625	0.008031
0.001091	2.329886	515.625000	0.017625
0.001136	2.267701	537.109375	0.010614
0.001182	2.184788	558.593750	0.006224
0.001227	2.101874	580.078125	0.008036
0.001273	1.998233	601.562500	0.016685
0.001318	1.894591	623.046875	0.013699
0.001364	1.853135	644.531250	0.010047
0.001409	1.770222	666.015625	0.011174
0.001455	1.687308	687.500000	0.018461
0.001500	1.645852	708.984375	0.003504
0.001545	1.583667	730.468750	0.003005
0.001591	1.521482	751.953125	0.004510
0.001636	1.438569	773.437500	0.007205
0.001682	1.376384	794.921875	0.009736
0.001727	1.314198	816.406250	0.000469
0.001773	1.272742	837.890625	0.008011
0.001818	1.189829	859.375000	0.006585
0.001864	1.127644	880.859375	0.006736
0.001909	1.044730	902.343750	0.011775
0.001955	0.982546	923.828125	0.005105
0.002000	0.941089	945.312500	0.004205
0.002045	0.858175	966.796875	0.003123
0.002091	0.795991	988.281250	0.004791
0.002136	0.713078	1009.765625	0.005616
0.002182	0.671621	1031.250000	0.006818
0.002227	0.630164	1052.734375	0.001225
0.002273	0.630164	1074.218750	0.002535
0.002318	0.630164	1095.703125	0.001592
0.002364	0.609436	1117.187500	0.007364
0.002409	0.547251	1138.671875	0.002378
0.002455	0.505795	1160.156250	0.005883
0.002500	0.422881	1181.640625	0.006847
0.002545	0.360696	1203.125000	0.005770
0.002591	0.298512	1224.609375	0.001138
0.002636	0.215598	1246.093750	0.001822
0.002682	0.194870	1267.578125	0.005049
0.002727	0.194870	1289.062500	0.003773
0.002773	0.174141	1310.546875	0.011604
0.002818	0.132685	1332.031250	0.005675
0.002864	0.111957	1353.515625	0.002364
0.002909	0.091228	1375.000000	0.003952
0.002955	0.070499	1396.484375	0.002328
0.003000	0.049771	1417.968750	0.008909
0.003045	0.049771	1439.453125	0.014107
0.003091	0.049771	1460.937500	0.007490
0.003136	0.049771	1482.421875	0.002565
0.003182	0.049771	1503.906250	0.002807
0.003227	0.049771	1525.390625	0.010379
0.003273	0.029043	1546.875000	0.009279
0.003318	0.049771	1568.359375	0.006825
0.003364	0.049771	1589.843750	0.011159
0.003409	0.049771	1611.328125	0.007052
0.003455	0.049771	1632.812500	0.006236
0.003500	0.029043	1654.296875	0.007648
0.003545	0.029043	1675.781250	0.002189
0.003591	0.008315	1697.265625	0.001248
0.003636	0.029043	1718.750000	0.003502
0.003682	0.049771	1740.234375	0.015720
0.003727	0.049771	1761.718750	0.012148
0.003773	0.049771	1783.203125	0.008721
0.003818	0.049771	1804.687500	0.001687
0.003864	0.049771	1826.171875	0.009732
0.003909	0.049771	1847.656250	0.016155
0.003955	0.029043	1869.140625	0.011029
0.004000	0.029043	1890.625000	0.005204
0.004045	0.049771	1912.109375	0.003496
0.004091	0.029043	1933.593750	0.006820
0.004136	0.049771	1955.078125	0.010016
0.004182	0.049771	1976.562500	0.002136
0.004227	0.049771	1998.046875	0.006382
0.004273	0.049771	2019.531250	0.004370
0.004318	0.215598	2041.015625	0.012128
0.004364	0.298512	2062.500000	0.008356
0.004409	0.339968	2083.984375	0.004919
0.004455	0.381424	2105.468750	0.002428
0.004500	0.422881	2126.953125	0.003533
0.004545	0.443609	2148.437500	0.012657
0.004591	0.505795	2169.921875	0.004746
0.004636	0.526523	2191.406250	0.005389
0.004682	0.547251	2212.890625	0.006602
0.004727	0.630164	2234.375000	0.005176
0.004773	0.671621	2255.859375	0.002454
0.004818	0.713078	2277.343750	0.008550
0.004864	0.795991	2298.828125	0.004492
0.004909	0.858175	2320.312500	0.002961
0.004955	0.941089	2341.796875	0.004562
0.005000	1.024002	2363.281250	0.009198
0.005045	1.065459	2384.765625	0.003439
0.005091	1.106915	2406.250000	0.004348
0.005136	1.169101	2427.734375	0.001975
0.005182	1.231285	2449.218750	0.002161
0.005227	1.314198	2470.703125	0.004277
0.005273	1.355656	2492.187500	0.003116
0.005318	1.438569	2513.671875	0.006630
0.005364	1.521482	2535.156250	0.002907
0.005409	1.583667	2556.640625	0.004100
0.005455	1.645852	2578.125000	0.003496
0.005500	1.708036	2599.609375	0.003201
0.005545	1.770222	2621.093750	0.000887
0.005591	1.853135	2642.578125	0.003599
0.005636	1.936049	2664.062500	0.002314
