Number of Samples	Sampling Rate (Hz)
1024.000000	22000.000000

Time (s)	Time History Channel 0	Frequency (Hz)	Power Spectrum Channel 0
0.000000	2.495713	0.000000	2.514862
0.000045	2.433528	21.484375	0.046279
0.000091	2.433528	42.968750	0.060637
0.000136	2.433528	64.453125	0.025916
0.000182	2.433528	85.937500	0.025497
0.000227	2.454256	107.421875	0.031327
0.000273	2.433528	128.906250	0.009819
0.000318	2.371343	150.390625	0.021903
0.000364	2.350615	171.875000	0.008392
0.000409	2.371343	193.359375	0.011184
0.000455	2.392071	214.843750	0.014228
0.000500	2.454256	236.328125	0.012033
0.000545	2.474984	257.812500	0.008550
0.000591	2.516441	279.296875	0.009649
0.000636	2.495713	300.781250	0.011446
0.000682	2.474984	322.265625	0.004910
0.000727	2.454256	343.750000	0.014701
0.000773	2.412800	365.234375	0.006758
0.000818	2.392071	386.718750	0.004529
0.000864	2.392071	408.203125	0.013639
0.000909	2.412800	429.687500	0.009289
0.000955	2.433528	451.171875	0.009858
0.001000	2.454256	472.656250	0.004510
0.001045	2.454256	494.140625	0.005104
0.001091	2.454256	515.625000	0.002103
0.001136	2.454256	537.109375	0.009750
0.001182	2.454256	558.593750	0.005287
0.001227	2.454256	580.078125	0.006647
0.001273	2.433528	601.562500	0.010276
0.001318	2.412800	623.046875	0.005907
0.001364	2.433528	644.531250	0.003391
0.001409	2.412800	666.015625	0.001128
0.001455	2.433528	687.500000	0.007565
0.001500	2.433528	708.984375	0.002461
0.001545	2.454256	730.468750	0.001350
0.001591	2.454256	751.953125	0.004225
0.001636	2.474984	773.437500	0.005580
0.001682	2.454256	794.921875	0.001184
0.001727	2.433528	816.406250	0.004392
0.001773	2.454256	837.890625	0.009462
0.001818	2.433528	859.375000	0.003917
0.001864	2.433528	880.859375	0.003746
0.001909	2.433528	902.343750	0.003285
0.001955	2.433528	923.828125	0.001586
0.002000	2.433528	945.312500	0.002036
0.002045	2.433528	966.796875	0.008269
0.002091	2.433528	988.281250	0.010652
0.002136	2.433528	1009.765625	0.004006
0.002182	2.454256	1031.250000	0.008187
0.002227	2.474984	1052.734375	0.003319
0.002273	2.433528	1074.218750	0.005183
0.002318	2.392071	1095.703125	0.006556
0.002364	2.309158	1117.187500	0.005159
0.002409	2.267701	1138.671875	0.005770
0.002455	2.267701	1160.156250	0.000901
0.002500	2.288429	1181.640625	0.005110
0.002545	2.288429	1203.125000	0.009713
0.002591	2.226245	1224.609375	0.001984
0.002636	2.246973	1246.093750	0.004722
0.002682	2.267701	1267.578125	0.006112
0.002727	2.371343	1289.062500	0.005008
0.002773	2.557898	1310.546875	0.005108
0.002818	2.620083	1332.031250	0.006641
0.002864	2.661539	1353.515625	0.003096
0.002909	2.640811	1375.000000	0.012174
0.002955	2.599355	1396.484375	0.007920
0.003000	2.537169	1417.968750	0.008227
0.003045	2.454256	1439.453125	0.007521
0.003091	2.392071	1460.937500	0.004553
0.003136	2.371343	1482.421875	0.007096
0.003182	2.392071	1503.906250	0.006781
0.003227	2.433528	1525.390625	0.008181
0.003273	2.495713	1546.875000	0.006410
0.003318	2.557898	1568.359375	0.011992
0.003364	2.557898	1589.843750	0.005037
0.003409	2.516441	1611.328125	0.005040
0.003455	2.495713	1632.812500	0.011459
0.003500	2.454256	1654.296875	0.016398
0.003545	2.433528	1675.781250	0.005664
0.003591	2.474984	1697.265625	0.016139
0.003636	2.495713	1718.750000	0.007039
0.003682	2.474984	1740.234375	0.008265
0.003727	2.495713	1761.718750	0.005388
0.003773	2.495713	1783.203125	0.008552
0.003818	2.516441	1804.687500	0.006127
0.003864	2.474984	1826.171875	0.006674
0.003909	2.454256	1847.656250	0.003251
0.003955	2.454256	1869.140625	0.005396
0.004000	2.454256	1890.625000	0.004088
0.004045	2.454256	1912.109375	0.001088
0.004091	2.454256	1933.593750	0.005636
0.004136	2.454256	1955.078125	0.002316
0.004182	2.474984	1976.562500	0.016428
0.004227	2.474984	1998.046875	0.010561
0.004273	2.495713	2019.531250	0.008455
0.004318	2.495713	2041.015625	0.006688
0.004364	2.495713	2062.500000	0.008016
0.004409	2.454256	2083.984375	0.005194
0.004455	2.454256	2105.468750	0.006801
0.004500	2.495713	2126.953125	0.006409
0.004545	2.474984	2148.437500	0.006831
0.004591	2.474984	2169.921875	0.010432
0.004636	2.474984	2191.406250	0.006110
0.004682	2.454256	2212.890625	0.006538
0.004727	2.454256	2234.375000	0.002758
0.004773	2.454256	2255.859375	0.010177
0.004818	2.454256	2277.343750	0.011889
0.004864	2.454256	2298.828125	0.002537
0.004909	2.474984	2320.312500	0.002274
0.004955	2.474984	2341.796875	0.004873
0.005000	2.474984	2363.281250	0.002349
0.005045	2.474984	2384.765625	0.006367
0.005091	2.495713	2406.250000	0.005825
0.005136	2.474984	2427.734375	0.003185
0.005182	2.537169	2449.218750	0.006515
0.005227	2.620083	2470.703125	0.000929
0.005273	2.682268	2492.187500	0.001485
0.005318	2.682268	2513.671875	0.003435
0.005364	2.620083	2535.156250	0.003756
0.005409	2.537169	2556.640625	0.001959
0.005455	2.454256	2578.125000	0.005134
