Number of Samples	Sampling Rate (Hz)
1024.000000	22000.000000

Time (s)	Time History Channel 0	Frequency (Hz)	Power Spectrum Channel 0
0.000000	4.547816	0.000000	2.517757
0.000045	1.480025	21.484375	0.056591
0.000091	1.314198	42.968750	0.048621
0.000136	4.547816	64.453125	0.050575
0.000182	1.231285	85.937500	0.026397
0.000227	1.562939	107.421875	0.053113
0.000273	4.506360	128.906250	0.027233
0.000318	0.941089	150.390625	0.016527
0.000364	1.811678	171.875000	0.036847
0.000409	4.402719	193.359375	0.008260
0.000455	0.733806	214.843750	0.029239
0.000500	2.101874	236.328125	0.010681
0.000545	4.319805	257.812500	0.016316
0.000591	0.567979	279.296875	0.032850
0.000636	2.433528	300.781250	0.005387
0.000682	4.195435	322.265625	0.023620
0.000727	0.422881	343.750000	0.006027
0.000773	2.661539	365.234375	0.009833
0.000818	3.946695	386.718750	0.016255
0.000864	0.257054	408.203125	0.010915
0.000909	3.013921	429.687500	0.007240
0.000955	3.863782	451.171875	0.003373
0.001000	0.298512	472.656250	0.014488
0.001045	3.304117	494.140625	0.010797
0.001091	3.635771	515.625000	0.006913
0.001136	0.277782	537.109375	0.008243
0.001182	3.552857	558.593750	0.008458
0.001227	3.387031	580.078125	0.006112
0.001273	0.277782	601.562500	0.004711
0.001318	3.739412	623.046875	0.007616
0.001364	3.096834	644.531250	0.008544
0.001409	0.298512	666.015625	0.003415
0.001455	3.925967	687.500000	0.007352
0.001500	2.827366	708.984375	0.011916
0.001545	0.422881	730.468750	0.005219
0.001591	4.133250	751.953125	0.007533
0.001636	2.599355	773.437500	0.008835
0.001682	0.567979	794.921875	0.006787
0.001727	4.299076	816.406250	0.003159
0.001773	2.288429	837.890625	0.007531
0.001818	0.713078	859.375000	0.007050
0.001864	4.402719	880.859375	0.000747
0.001909	1.998233	902.343750	0.003498
0.001955	0.899632	923.828125	0.003775
0.002000	4.444175	945.312500	0.005050
0.002045	1.687308	966.796875	0.000504
0.002091	1.086187	988.281250	0.007310
0.002136	4.506360	1009.765625	0.001672
0.002182	1.438569	1031.250000	0.003099
0.002227	1.397112	1052.734375	0.004317
0.002273	4.547816	1074.218750	0.008024
0.002318	1.210557	1095.703125	0.004040
0.002364	1.645852	1117.187500	0.005832
0.002409	4.506360	1138.671875	0.006750
0.002455	0.961818	1160.156250	0.006425
0.002500	1.894591	1181.640625	0.004250
0.002545	4.423447	1203.125000	0.008988
0.002591	0.754534	1224.609375	0.007509
0.002636	2.226245	1246.093750	0.002148
0.002682	4.340533	1267.578125	0.001710
0.002727	0.609436	1289.062500	0.007039
0.002773	2.537169	1310.546875	0.001785
0.002818	4.195435	1332.031250	0.007831
0.002864	0.464337	1353.515625	0.001924
0.002909	2.806638	1375.000000	0.001185
0.002955	4.008880	1396.484375	0.006263
0.003000	0.381424	1417.968750	0.012420
0.003045	3.076106	1439.453125	0.009700
0.003091	3.843054	1460.937500	0.008182
0.003136	0.298512	1482.421875	0.008186
0.003182	3.345573	1503.906250	0.011812
0.003227	3.615042	1525.390625	0.005936
0.003273	0.298512	1546.875000	0.007944
0.003318	3.573586	1568.359375	0.000837
0.003364	3.387031	1589.843750	0.005993
0.003409	0.319240	1611.328125	0.008888
0.003455	3.801597	1632.812500	0.013734
0.003500	3.117562	1654.296875	0.010881
0.003545	0.360696	1675.781250	0.006230
0.003591	4.008880	1697.265625	0.001822
0.003636	2.848094	1718.750000	0.010127
0.003682	0.464337	1740.234375	0.006000
0.003727	4.195435	1761.718750	0.010160
0.003773	2.392071	1783.203125	0.005698
0.003818	0.443609	1804.687500	0.011526
0.003864	4.112521	1826.171875	0.016601
0.003909	1.998233	1847.656250	0.013958
0.003955	0.609436	1869.140625	0.019810
0.004000	4.361261	1890.625000	0.011858
0.004045	1.790950	1912.109375	0.006797
0.004091	0.878904	1933.593750	0.009433
0.004136	4.423447	1955.078125	0.003755
0.004182	1.521482	1976.562500	0.005308
0.004227	1.086187	1998.046875	0.011138
0.004273	4.444175	2019.531250	0.013768
0.004318	1.293470	2041.015625	0.008180
0.004364	1.376384	2062.500000	0.006824
0.004409	4.423447	2083.984375	0.005445
0.004455	1.086187	2105.468750	0.012487
0.004500	1.459297	2126.953125	0.006301
0.004545	4.236892	2148.437500	0.009817
0.004591	0.795991	2169.921875	0.010011
0.004636	1.708036	2191.406250	0.004349
0.004682	4.174706	2212.890625	0.004545
0.004727	0.567979	2234.375000	0.006250
0.004773	2.039690	2255.859375	0.003281
0.004818	4.071065	2277.343750	0.006292
0.004864	0.381424	2298.828125	0.002806
0.004909	2.474984	2320.312500	0.003704
0.004955	4.133250	2341.796875	0.002765
0.005000	0.526523	2363.281250	0.002497
0.005045	2.848094	2384.765625	0.002950
0.005091	3.843054	2406.250000	0.002021
0.005136	0.070499	2427.734375	0.003686
0.005182	2.765181	2449.218750	0.007109
0.005227	3.511400	2470.703125	0.002499
0.005273	0.049771	2492.187500	0.005590
0.005318	3.159019	2513.671875	0.002851
0.005364	3.552857	2535.156250	0.008015
0.005409	0.360696	2556.640625	0.002581
0.005455	3.635771	2578.125000	0.001532
0.005500	3.469944	2599.609375	0.002726
0.005545	0.402153	2621.093750	0.003938
0.005591	3.780869	2642.578125	0.001078
0.005636	3.096834	2664.062500	0.003327
0.005682	0.381424	2685.546875	0.001863
0.005727	3.925967	2707.031250	0.002217
0.005773	2.848094	2728.515625	0.001636
0.005818	0.526523	2750.000000	0.003943
0.005864	4.133250	2771.484375	0.003227
0.005909	2.578626	2792.968750	0.001069
0.005955	0.713078	2814.453125	0.003678
0.006000	4.547816	2835.937500	0.001580
0.006045	2.454256	2857.421875	0.001540
0.006091	0.941089	2878.906250	0.000575
0.006136	4.610002	2900.390625	0.001643
0.006182	2.081146	2921.875000	0.003531
0.006227	1.086187	2943.359375	0.007498
0.006273	4.651458	2964.843750	0.003874
0.006318	1.790950	2986.328125	0.007506
0.006364	1.334927	3007.812500	0.003889
0.006409	4.713643	3029.296875	0.002280
0.006455	1.562939	3050.781250	0.001134
0.006500	1.625123	3072.265625	0.002769
0.006545	4.755099	3093.750000	0.001198
0.006591	1.314198	3115.234375	0.005600
0.006636	1.873863	3136.718750	0.003614
0.006682	4.672186	3158.203125	0.004271
0.006727	1.065459	3179.687500	0.002619
0.006773	2.143332	3201.171875	0.002555
0.006818	4.568544	3222.656250	0.001262
0.006864	0.837447	3244.140625	0.002652
0.006909	2.454256	3265.625000	0.003022
0.006955	4.527088	3287.109375	0.001093
0.007000	0.775263	3308.593750	0.001835
0.007045	2.785910	3330.078125	0.002425
0.007091	4.299076	3351.562500	0.001294
0.007136	0.505795	3373.046875	0.002097
0.007182	2.951735	3394.531250	0.003030
0.007227	4.071065	3416.015625	0.002279
0.007273	0.422881	3437.500000	0.002530
0.007318	3.283389	3458.984375	0.002148
0.007364	3.925967	3480.468750	0.001545
0.007409	0.443609	3501.953125	0.001927
0.007455	3.573586	3523.437500	0.001990
0.007500	3.718683	3544.921875	0.003419
0.007545	0.422881	3566.406250	0.002920
0.007591	3.822325	3587.890625	0.002122
0.007636	3.428487	3609.375000	0.000886
0.007682	0.422881	3630.859375	0.001360
0.007727	4.008880	3652.343750	0.003021
0.007773	3.179748	3673.828125	0.006868
0.007818	0.485066	3695.312500	0.002455
0.007864	4.195435	3716.796875	0.003297
0.007909	2.868822	3738.281250	0.002215
0.007955	0.609436	3759.765625	0.002918
0.008000	4.340533	3781.250000	0.003266
0.008045	2.557898	3802.734375	0.002147
0.008091	0.733806	3824.218750	0.005176
0.008136	4.444175	3845.703125	0.002448
0.008182	2.288429	3867.187500	0.002444
0.008227	0.920361	3888.671875	0.003287
0.008273	4.589272	3910.156250	0.002224
0.008318	2.018962	3931.640625	0.001658
0.008364	1.148372	3953.125000	0.003553
0.008409	4.672186	3974.609375	0.003894
0.008455	1.708036	3996.093750	0.004137
0.008500	1.355656	4017.578125	0.003136
0.008545	4.651458	4039.062500	0.003385
