Number of Samples	Sampling Rate (Hz)
1024.000000	22000.000000

Time (s)	Time History Channel 0	Frequency (Hz)	Power Spectrum Channel 0
0.000000	2.164060	0.000000	2.466543
0.000045	2.039690	21.484375	0.079357
0.000091	1.915320	42.968750	0.122998
0.000136	1.811678	64.453125	0.081033
0.000182	1.708036	85.937500	0.065412
0.000227	1.625123	107.421875	0.101302
0.000273	1.542211	128.906250	0.105060
0.000318	1.459297	150.390625	0.165335
0.000364	1.355656	171.875000	0.268097
0.000409	1.293470	193.359375	1.087270
0.000455	1.210557	214.843750	0.427447
0.000500	1.127644	236.328125	0.200740
0.000545	1.065459	257.812500	0.119546
0.000591	1.024002	279.296875	0.071185
0.000636	0.961818	300.781250	0.049916
0.000682	0.878904	322.265625	0.043035
0.000727	0.858175	343.750000	0.059735
0.000773	0.816719	365.234375	0.046946
0.000818	0.754534	386.718750	0.033116
0.000864	0.733806	408.203125	0.030457
0.000909	0.713078	429.687500	0.025439
0.000955	0.692349	451.171875	0.030404
0.001000	0.692349	472.656250	0.030818
0.001045	0.713078	494.140625	0.027692
0.001091	0.692349	515.625000	0.019273
0.001136	0.713078	537.109375	0.015036
0.001182	0.733806	558.593750	0.018259
0.001227	0.754534	580.078125	0.021169
0.001273	0.795991	601.562500	0.020277
0.001318	0.816719	623.046875	0.016234
0.001364	0.837447	644.531250	0.008951
0.001409	0.858175	666.015625	0.008470
0.001455	0.878904	687.500000	0.016001
0.001500	0.899632	708.984375	0.019187
0.001545	0.961818	730.468750	0.011491
0.001591	1.044730	751.953125	0.010512
0.001636	1.148372	773.437500	0.007214
0.001682	1.210557	794.921875	0.008888
0.001727	1.314198	816.406250	0.014521
0.001773	1.355656	837.890625	0.013553
0.001818	1.459297	859.375000	0.007450
0.001864	1.521482	880.859375	0.011905
0.001909	1.604395	902.343750	0.009083
0.001955	1.687308	923.828125	0.008639
0.002000	1.770222	945.312500	0.013029
0.002045	1.853135	966.796875	0.009578
0.002091	1.956777	988.281250	0.011978
0.002136	2.060418	1009.765625	0.007598
0.002182	2.184788	1031.250000	0.008521
0.002227	2.288429	1052.734375	0.008015
0.002273	2.412800	1074.218750	0.014129
0.002318	2.537169	1095.703125	0.013020
0.002364	2.599355	1117.187500	0.006919
0.002409	2.682268	1138.671875	0.006520
0.002455	2.806638	1160.156250	0.008391
0.002500	2.868822	1181.640625	0.000213
0.002545	2.972465	1203.125000	0.014291
0.002591	3.034649	1224.609375	0.008844
0.002636	3.117562	1246.093750	0.009618
0.002682	3.221204	1267.578125	0.017735
0.002727	3.324845	1289.062500	0.012356
0.002773	3.407759	1310.546875	0.010028
0.002818	3.490672	1332.031250	0.005005
0.002864	3.552857	1353.515625	0.008260
0.002909	3.635771	1375.000000	0.005253
0.002955	3.718683	1396.484375	0.013741
0.003000	3.780869	1417.968750	0.003615
0.003045	3.843054	1439.453125	0.015369
0.003091	3.863782	1460.937500	0.009738
0.003136	3.946695	1482.421875	0.011229
0.003182	4.008880	1503.906250	0.001321
0.003227	4.029609	1525.390625	0.007614
0.003273	4.091793	1546.875000	0.015202
0.003318	4.133250	1568.359375	0.016775
0.003364	4.174706	1589.843750	0.005317
0.003409	4.174706	1611.328125	0.009214
0.003455	4.174706	1632.812500	0.010499
0.003500	4.195435	1654.296875	0.011987
0.003545	4.195435	1675.781250	0.007308
0.003591	4.195435	1697.265625	0.002036
0.003636	4.195435	1718.750000	0.004739
0.003682	4.195435	1740.234375	0.003474
0.003727	4.195435	1761.718750	0.009088
0.003773	4.195435	1783.203125	0.004220
0.003818	4.174706	1804.687500	0.005695
0.003864	4.112521	1826.171875	0.014941
0.003909	4.091793	1847.656250	0.023196
0.003955	4.029609	1869.140625	0.020723
0.004000	4.008880	1890.625000	0.005601
0.004045	3.925967	1912.109375	0.020631
0.004091	3.863782	1933.593750	0.016737
0.004136	3.822325	1955.078125	0.020542
0.004182	3.760140	1976.562500	0.007803
0.004227	3.697955	1998.046875	0.008029
0.004273	3.635771	2019.531250	0.005901
0.004318	3.552857	2041.015625	0.013159
0.004364	3.490672	2062.500000	0.007310
0.004409	3.366302	2083.984375	0.009609
0.004455	3.304117	2105.468750	0.008243
0.004500	3.200476	2126.953125	0.003043
0.004545	3.096834	2148.437500	0.012430
0.004591	2.993193	2169.921875	0.004672
0.004636	2.889551	2191.406250	0.006228
0.004682	2.785910	2212.890625	0.007149
0.004727	2.682268	2234.375000	0.006436
0.004773	2.599355	2255.859375	0.006601
0.004818	2.516441	2277.343750	0.006585
0.004864	2.412800	2298.828125	0.003060
0.004909	2.329886	2320.312500	0.009874
0.004955	2.205517	2341.796875	0.007043
0.005000	2.101874	2363.281250	0.002562
0.005045	1.998233	2384.765625	0.003322
0.005091	1.894591	2406.250000	0.006748
0.005136	1.811678	2427.734375	0.003036
0.005182	1.708036	2449.218750	0.003096
0.005227	1.625123	2470.703125	0.004609
0.005273	1.542211	2492.187500	0.004141
0.005318	1.480025	2513.671875	0.006880
0.005364	1.376384	2535.156250	0.002262
0.005409	1.334927	2556.640625	0.001512
0.005455	1.231285	2578.125000	0.004939
0.005500	1.169101	2599.609375	0.006647
0.005545	1.106915	2621.093750	0.001055
0.005591	1.044730	2642.578125	0.007383
0.005636	0.982546	2664.062500	0.004556
0.005682	0.941089	2685.546875	0.001599
0.005727	0.878904	2707.031250	0.006317
0.005773	0.858175	2728.515625	0.002640
0.005818	0.816719	2750.000000	0.002743
0.005864	0.775263	2771.484375	0.006539
0.005909	0.775263	2792.968750	0.004536
0.005955	0.713078	2814.453125	0.003964
0.006000	0.733806	2835.937500	0.002232
0.006045	0.692349	2857.421875	0.004732
0.006091	0.692349	2878.906250	0.007880
0.006136	0.692349	2900.390625	0.002332
0.006182	0.671621	2921.875000	0.001559
0.006227	0.692349	2943.359375	0.003318
0.006273	0.713078	2964.843750	0.003820
0.006318	0.795991	2986.328125	0.005222
0.006364	0.878904	3007.812500	0.002516
0.006409	0.920361	3029.296875	0.002219
0.006455	0.961818	3050.781250	0.002467
0.006500	0.961818	3072.265625	0.001905
0.006545	1.024002	3093.750000	0.004550
0.006591	1.044730	3115.234375	0.000997
0.006636	1.106915	3136.718750	0.003485
0.006682	1.169101	3158.203125	0.002598
0.006727	1.252014	3179.687500	0.000986
